driver,constructor,year,round,circuit,position,weather_type,circuit_type,status,finished
kvyat,red_bull,2016,2,bahrain,7,dry,permanent,+1 Lap,TRUE
ericsson,sauber,2018,6,monaco,11,dry,permanent,Finished,TRUE
mick_schumacher,haas,2021,16,istanbul,19,wet,permanent,+2 Laps,TRUE
vandoorne,mclaren,2018,21,yas_marina,14,dry,permanent,+1 Lap,TRUE
bottas,mercedes,2019,12,hungaroring,8,dry,permanent,+1 Lap,TRUE
perez,red_bull,2021,13,zandvoort,8,dry,permanent,+1 Lap,TRUE
sainz,renault,2018,8,ricard,8,dry,permanent,Finished,TRUE
grosjean,lotus_f1,2015,19,yas_marina,9,dry,permanent,Finished,TRUE
leclerc,ferrari,2020,15,bahrain,10,dry,permanent,+1 Lap,TRUE
stroll,racing_point,2020,7,spa,9,dry,permanent,Finished,TRUE
grosjean,lotus_f1,2015,6,monaco,12,dry,street,Finished,TRUE
perez,force_india,2017,18,rodriguez,7,dry,permanent,+1 Lap,TRUE
perez,racing_point,2020,11,nurburgring,4,dry,permanent,Finished,TRUE
ricciardo,red_bull,2017,12,spa,3,dry,permanent,Finished,TRUE
bottas,mercedes,2017,6,monaco,4,dry,permanent,Finished,TRUE
grosjean,haas,2017,3,bahrain,8,dry,permanent,Finished,TRUE
grosjean,haas,2016,3,shanghai,19,dry,permanent,+1 Lap,TRUE
ricciardo,red_bull,2016,20,interlagos,8,wet,permanent,Finished,TRUE
vettel,ferrari,2015,14,suzuka,3,dry,permanent,Finished,TRUE
raikkonen,alfa,2021,17,americas,13,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2017,16,suzuka,2,dry,permanent,Finished,TRUE
raikkonen,alfa,2021,1,bahrain,11,dry,permanent,Finished,TRUE
jules_bianchi,marussia,2014,6,monaco,9,dry,street,+1 Lap,TRUE
giovinazzi,alfa,2021,4,catalunya,15,dry,permanent,+1 Lap,TRUE
nasr,sauber,2016,17,suzuka,19,dry,permanent,+1 Lap,TRUE
kubica,williams,2019,4,BAK,16,dry,permanent,+2 Laps,TRUE
vettel,ferrari,2020,14,istanbul,3,wet,permanent,Finished,TRUE
giovinazzi,alfa,2020,2,red_bull_ring,14,dry,permanent,+1 Lap,TRUE
alonso,alpine,2021,3,portimao,8,dry,permanent,Finished,TRUE
ocon,manor,2016,18,americas,18,dry,permanent,+2 Laps,TRUE
bottas,mercedes,2019,13,spa,3,dry,permanent,Finished,TRUE
massa,williams,2015,10,hungaroring,12,dry,permanent,Finished,TRUE
leclerc,sauber,2018,4,BAK,6,dry,street,Finished,TRUE
rosberg,mercedes,2016,12,hockenheimring,4,dry,permanent,Finished,TRUE
sainz,renault,2017,17,americas,7,dry,permanent,Finished,TRUE
ericsson,sauber,2018,5,catalunya,13,dry,permanent,+2 Laps,TRUE
russell,williams,2020,9,mugello,11,dry,permanent,Finished,TRUE
alonso,alpine,2021,21,jeddah,13,dry,street,+1 Lap,TRUE
norris,mclaren,2020,9,mugello,6,dry,permanent,Finished,TRUE
rosberg,mercedes,2016,8,BAK,1,dry,street,Finished,TRUE
raikkonen,ferrari,2017,19,interlagos,3,dry,permanent,Finished,TRUE
perez,force_india,2017,14,marina_bay,5,wet,street,Finished,TRUE
ericsson,sauber,2016,12,hockenheimring,18,dry,permanent,+2 Laps,TRUE
raikkonen,ferrari,2018,7,villeneuve,6,dry,street,Finished,TRUE
kubica,williams,2019,10,silverstone,15,dry,permanent,+1 Lap,TRUE
gutierrez,sauber,2014,12,spa,15,dry,permanent,Finished,TRUE
kevin_magnussen,haas,2019,2,bahrain,13,dry,permanent,+1 Lap,TRUE
max_verstappen,red_bull,2017,15,sepang,1,dry,permanent,Finished,TRUE
hamilton,mercedes,2017,15,sepang,2,dry,permanent,Finished,TRUE
leclerc,sauber,2018,9,red_bull_ring,9,dry,permanent,+1 Lap,TRUE
gasly,toro_rosso,2019,17,suzuka,7,dry,permanent,+1 Lap,TRUE
wehrlein,sauber,2017,5,catalunya,8,dry,permanent,+1 Lap,TRUE
ocon,force_india,2017,3,bahrain,10,dry,permanent,Finished,TRUE
sainz,renault,2018,6,monaco,10,dry,permanent,Finished,TRUE
hamilton,mercedes,2014,9,silverstone,1,dry,permanent,Finished,TRUE
hamilton,mercedes,2018,19,rodriguez,4,dry,permanent,Finished,TRUE
vettel,red_bull,2014,12,spa,5,dry,permanent,Finished,TRUE
albon,red_bull,2020,6,catalunya,8,dry,permanent,+1 Lap,TRUE
raikkonen,ferrari,2017,6,monaco,2,dry,permanent,Finished,TRUE
stroll,aston_martin,2021,8,red_bull_ring,8,dry,permanent,+1 Lap,TRUE
ricciardo,renault,2020,8,monza,6,dry,permanent,Finished,TRUE
hulkenberg,force_india,2014,14,marina_bay,9,dry,street,Finished,TRUE
bottas,mercedes,2020,3,hungaroring,3,wet,permanent,Finished,TRUE
ricciardo,mclaren,2021,17,americas,5,dry,permanent,Finished,TRUE
vettel,ferrari,2019,3,shanghai,3,dry,permanent,Finished,TRUE
leclerc,ferrari,2019,17,suzuka,6,dry,permanent,+1 Lap,TRUE
ericsson,sauber,2018,16,sochi,13,dry,permanent,+1 Lap,TRUE
kevin_magnussen,haas,2017,13,monza,11,dry,permanent,+1 Lap,TRUE
button,mclaren,2014,1,albert_park,3,dry,street,Finished,TRUE
vettel,aston_martin,2021,14,monza,12,dry,permanent,Finished,TRUE
vettel,ferrari,2020,11,nurburgring,11,dry,permanent,Finished,TRUE
bottas,mercedes,2021,21,jeddah,3,dry,street,Finished,TRUE
hamilton,mercedes,2019,19,americas,2,dry,permanent,Finished,TRUE
grosjean,haas,2016,8,BAK,13,dry,street,+1 Lap,TRUE
nasr,sauber,2016,11,hungaroring,17,dry,permanent,+1 Lap,TRUE
hulkenberg,renault,2019,20,interlagos,15,dry,permanent,Finished,TRUE
vettel,ferrari,2019,8,ricard,5,dry,permanent,Finished,TRUE
bottas,williams,2016,5,catalunya,5,dry,permanent,Finished,TRUE
sirotkin,williams,2018,12,hungaroring,16,dry,permanent,+2 Laps,TRUE
raikkonen,ferrari,2017,13,monza,5,dry,permanent,Finished,TRUE
russell,mercedes,2020,16,bahrain,9,dry,permanent,Finished,TRUE
perez,force_india,2014,7,villeneuve,11,dry,street,Collision,TRUE
ricciardo,red_bull,2017,10,silverstone,5,dry,permanent,Finished,TRUE
massa,williams,2015,19,yas_marina,8,dry,permanent,Finished,TRUE
sainz,ferrari,2021,19,interlagos,6,dry,permanent,Finished,TRUE
sainz,ferrari,2021,6,BAK,8,dry,street,Finished,TRUE
kobayashi,caterham,2014,2,sepang,13,dry,permanent,+1 Lap,TRUE
vettel,ferrari,2017,17,americas,2,dry,permanent,Finished,TRUE
rossi,manor,2015,17,rodriguez,15,dry,permanent,+2 Laps,TRUE
vandoorne,mclaren,2017,9,red_bull_ring,12,dry,permanent,+1 Lap,TRUE
vettel,ferrari,2019,7,villeneuve,2,dry,street,Finished,TRUE
hamilton,mercedes,2015,14,suzuka,1,dry,permanent,Finished,TRUE
grosjean,haas,2018,2,bahrain,13,dry,permanent,+1 Lap,TRUE
